From Bus Number,To Bus Number,A_7,B_7,C_7,D_7
2135,2220,(0.9854335598707427+0.00019088308195605935j),(0.6173367921403498+47.225086390613896j),(-3.9232444790803564e-08+0.0006124014482045108j),(0.9854335598707427+0.00019088308195605935j)
2135,2220,(0.9854335598707427+0.00019088308195605935j),(0.6173367921403498+47.225086390613896j),(-3.9232444790803564e-08+0.0006124014482045108j),(0.9854335598707427+0.00019088308195605935j)
2135,2400,(0.39358966884119034+0.009572279192477107j),(3.3891699822541312+253.18770205236814j),(-1.4920883162679928e-05+0.0033379513493364487j),(0.39358966884119034+0.009572279192477107j)
2135,2400,(0.39358966884119034+0.009572279192477107j),(3.3891699822541312+253.18770205236814j),(-1.4920883162679928e-05+0.0033379513493364487j),(0.39358966884119034+0.009572279192477107j)
2135,2970,(0.922409825212419+0.0013673310888931618j),(1.8490342963544075+106.36372656680487j),(-6.632105905567674e-07+0.0014023649082386062j),(0.922409825212419+0.0013673310888931618j)
2135,2970,(0.922409825212419+0.0013673310888931618j),(1.8490342963544075+106.36372656680487j),(-6.632105905567674e-07+0.0014023649082386062j),(0.922409825212419+0.0013673310888931618j)
2220,2225,(0.9903288498764934+0.0002710973150025897j),(1.3979150736161634+49.95036864147519j),(-3.498111012478549e-08+0.0003853583911180973j),(0.9903288498764934+0.0002710973150025897j)
2220,2225,(0.9903288498764934+0.0002710973150025897j),(1.3979150736161634+49.95036864147519j),(-3.498111012478549e-08+0.0003853583911180973j),(0.9903288498764934+0.0002710973150025897j)
2220,2230,(0.9727241342845601+0.0004810201941700232j),(1.1214601340997148+63.88657346764792j),(-1.367867393741207e-07+0.0008422401396617942j),(0.9727241342845601+0.0004810201941700232j)
2220,2230,(0.9727241342845601+0.0004810201941700232j),(1.1214601340997148+63.88657346764792j),(-1.367867393741207e-07+0.0008422401396617942j),(0.9727241342845601+0.0004810201941700232j)
2220,2570,(0.8534276977402477+0.0025371348339533945j),(2.4186892524055668+143.55319289404054j),(-1.7182639084374477e-06+0.0018924235703835458j),(0.8534276977402477+0.0025371348339533945j)
2220,2570,(0.8534276977402477+0.0025371348339533945j),(2.4186892524055668+143.55319289404054j),(-1.7182639084374477e-06+0.0018924235703835458j),(0.8534276977402477+0.0025371348339533945j)
2220,2691,(0.6596095594229702+0.008959879899518786j),(6.625737908622789+270.691781513359j),(-7.418691109901959e-06+0.002087046570473176j),(0.6596095594229702+0.008959879899518786j)
2220,2691,(0.6596095594229702+0.008959879899518786j),(6.625737908622789+270.691781513359j),(-7.418691109901959e-06+0.002087046570473176j),(0.6596095594229702+0.008959879899518786j)
2222,2300,(0.9989888093508251+1.2035953259387205e-05j),(0.024183685849459263+2.032115067126403j),(-3.992632618968868e-09+0.0009947068809378864j),(0.9989888093508251+1.2035953259387205e-05j)
2230,2240,(0.9918783944763807+0.00014413369131591593j),(0.620979010227023+35.03841639768078j),(-2.2266606902438345e-08+0.00046170058985466246j),(0.9918783944763807+0.00014413369131591593j)
2240,2250,(0.9997090128034067+5.089909818794882e-06j),(0.11613746664228185+6.639833878033778j),(-1.4870695775980023e-10+8.76361877365268e-05j),(0.9997090128034067+5.089909818794882e-06j)
2245,2280,(0.8644000628690394+0.0037132328583408284j),(4.837190945847464+181.07895281017508j),(-1.8451285120360061e-06+0.0013961721682605318j),(0.8644000628690394+0.0037132328583408284j)
2245,2280,(0.8644000628690394+0.0037132328583408284j),(4.837190945847464+181.07895281017508j),(-1.8451285120360061e-06+0.0013961721682605318j),(0.8644000628690394+0.0037132328583408284j)
2245,2705,(0.9099545422088521+0.0015833689759799977j),(1.9765442614771354+114.2115624298224j),(-8.296796170068397e-07+0.00150583351294211j),(0.9099545422088521+0.0015833689759799977j)
2245,2705,(0.9099545422088521+0.0015833689759799977j),(1.9765442614771354+114.2115624298224j),(-8.296796170068397e-07+0.00150583351294211j),(0.9099545422088521+0.0015833689759799977j)
2280,2281,(0.9729208125165689+0.0004813617999357583j),(1.1263626180189137+63.65580431134495j),(-1.3639042225956773e-07+0.0008392819984632114j),(0.9729208125165689+0.0004813617999357583j)
2280,2281,(0.9729208125165689+0.0004813617999357583j),(1.1263626180189137+63.65580431134495j),(-1.3639042225956773e-07+0.0008392819984632114j),(0.9729208125165689+0.0004813617999357583j)
2300,2570,(0.9955839235912899+0.0001105680532170693j),(0.6466504662592208+25.84623438503419j),(-1.2592556391535982e-08+0.00034096476251053694j),(0.9955839235912899+0.0001105680532170693j)
2300,2570,(0.9955839235912899+0.0001105680532170693j),(0.6466504662592208+25.84623438503419j),(-1.2592556391535982e-08+0.00034096476251053694j),(0.9955839235912899+0.0001105680532170693j)
2305,2306,(0.9999123370881077+1.004209774708658e-06j),(0.008227519139005369+0.7182352167727672j),(-8.171111066986794e-11+0.00024409571577750015j),(0.9999123370881077+1.004209774708658e-06j)
2305,2306,(0.9999123370881077+1.004209774708658e-06j),(0.008227519139005369+0.7182352167727672j),(-8.171111066986794e-11+0.00024409571577750015j),(0.9999123370881077+1.004209774708658e-06j)
2305,2350,(0.9367057592855554+0.0007181299338733058j),(0.21323539530998512+19.00197053584279j),(-1.5912799190256683e-06+0.006451041310870732j),(0.9367057592855554+0.0007181299338733058j)
2306,2580,(0.9902231569446205+0.00017430130488621352j),(0.6837613405046779+38.41625008435449j),(-2.9563196603236908e-08+0.0005065072612417165j),(0.9902231569446205+0.00017430130488621352j)
2306,2580,(0.9902231569446205+0.00017430130488621352j),(0.6837613405046779+38.41625008435449j),(-2.9563196603236908e-08+0.0005065072612417165j),(0.9902231569446205+0.00017430130488621352j)
2307,2580,(0.990217750961882+0.00017323289630066506j),(0.6794312715187341+38.42967362261062j),(-2.938795615470315e-08+0.0005066089270942321j),(0.990217750961882+0.00017323289630066506j)
2307,2580,(0.990217750961882+0.00017323289630066506j),(0.6794312715187341+38.42967362261062j),(-2.938795615470315e-08+0.0005066089270942321j),(0.990217750961882+0.00017323289630066506j)
2560,2570,(0.9960745224552026+0.00011006031255472352j),(0.8930565999973221+31.8732116135043j),(-9.035443903669986e-09+0.0002458349618094252j),(0.9960745224552026+0.00011006031255472352j)
2561,2570,(0.9960745224552026+0.00011006031255472352j),(0.8930565999973221+31.8732116135043j),(-9.035443903669986e-09+0.0002458349618094252j),(0.9960745224552026+0.00011006031255472352j)
2561,2970,(0.9888790710400918+0.00019825160793098543j),(0.7287834637699684+40.95754661563391j),(-3.5873305799470685e-08+0.0005400273660500573j),(0.9888790710400918+0.00019825160793098543j)
2561,2970,(0.9888790710400918+0.00019825160793098543j),(0.7287834637699684+40.95754661563391j),(-3.5873305799470685e-08+0.0005400273660500573j),(0.9888790710400918+0.00019825160793098543j)
2570,2580,(0.9891471966697641+0.00030418441847373623j),(1.4799323969451137+52.897920359179544j),(-4.159030591827777e-08+0.00040810402660603124j),(0.9891471966697641+0.00030418441847373623j)
2570,2580,(0.9891471966697641+0.00030418441847373623j),(1.4799323969451137+52.897920359179544j),(-4.159030591827777e-08+0.00040810402660603124j),(0.9891471966697641+0.00030418441847373623j)
2580,2830,(0.9912777597227113+0.0001555273607371781j),(0.6462317433942386+36.29482180571611j),(-2.4909933842096957e-08+0.00047853689055878676j),(0.9912777597227113+0.0001555273607371781j)
2580,2830,(0.9912777597227113+0.0001555273607371781j),(0.6462317433942386+36.29482180571611j),(-2.4909933842096957e-08+0.00047853689055878676j),(0.9912777597227113+0.0001555273607371781j)
2691,2705,(0.9300259698130569+0.001938548333911088j),(3.6219513758361677+132.34654653205595j),(-6.816827083194046e-07+0.0010204496298555957j),(0.9300259698130569+0.001938548333911088j)
2705,2810,(0.7253181936128598+0.00530354345017885j),(3.5619260333721514+195.03688369429292j),(-4.930776373201961e-06+0.002429920297893097j),(0.7253181936128598+0.00530354345017885j)
2705,2810,(0.7253181936128598+0.00530354345017885j),(3.5619260333721514+195.03688369429292j),(-4.930776373201961e-06+0.002429920297893097j),(0.7253181936128598+0.00530354345017885j)
2810,2815,(0.8457502065173536+0.0020617290324945804j),(1.8683492352081335+143.8321274023429j),(-1.4661753698103886e-06+0.0019794471841357783j),(0.8457502065173536+0.0020617290324945804j)
2810,2815,(0.8457502065173536+0.0020617290324945804j),(1.8683492352081335+143.8321274023429j),(-1.4661753698103886e-06+0.0019794471841357783j),(0.8457502065173536+0.0020617290324945804j)
2815,2830,(0.9471710698581637+0.0010624374971514702j),(1.8107883304957493+90.86514919259854j),(-4.1106732697314586e-07+0.0011320880420635146j),(0.9471710698581637+0.0010624374971514702j)
2815,2830,(0.9471710698581637+0.0010624374971514702j),(1.8107883304957493+90.86514919259854j),(-4.1106732697314586e-07+0.0011320880420635146j),(0.9471710698581637+0.0010624374971514702j)
