From Bus Number,To Bus Number,A,B,C,D
(2135+0j),(2220+0j),(0.9715164496447924+0.0002659869372709259j),(0.3057743668990604+32.90301050416583j),(-1.5336009077771553e-07+0.001706707412622119j),(0.9715164496447924+0.0002659869372709259j)
(2135+0j),(2400+0j),(-0.06193638522440127+0.010392840241447158j),(0.7877281798381804+137.44648099959792j),(-5.0906771973501586e-05+0.00724814333091369j),(-0.06193638522440127+0.010392840241447158j)
(2135+0j),(2970+0j),(0.8498315171698578+0.001865962226873407j),(0.8771535083949106+72.57594975464819j),(-2.5605792754159973e-06+0.0038275438235091607j),(0.8498315171698578+0.001865962226873407j)
(2220+0j),(2225+0j),(0.9810739157679218+0.0003783593406942903j),(0.6946149338355334+34.856834669188395j),(-1.3687094488071012e-07+0.00107565762177849j),(0.9810739157679218+0.0003783593406942903j)
(2220+0j),(2230+0j),(0.9467734842677996+0.0006675174017647885j),(0.5508359958172593+44.32807630884015j),(-5.333839607055035e-07+0.0023375731565220856j),(0.9467734842677996+0.0006675174017647885j)
(2220+0j),(2570+0j),(0.719594936273745+0.0033801493375619266j),(1.0888021639646566+95.62584215312346j),(-6.541550603814221e-06+0.0050424385269429535j),(0.719594936273745+0.0033801493375619266j)
(2220+0j),(2691+0j),(0.3710121099490203+0.011070172510370483j),(2.4705444776219982+167.2239430499167j),(-2.706987793734731e-05+0.005157190231997507j),(0.3710121099490203+0.011070172510370483j)
(2222+0j),(2300+0j),(0.9980183870297674+1.6844880989879474e-05j),(0.024168028921579536+2.844040328662255j),(-7.824040373103355e-09+0.0013921389247746345j),(0.9980183870297674+1.6844880989879474e-05j)
(2230+0j),(2240+0j),(0.9841023612663465+0.00020126186932526027j),(0.6177410136103141+48.92608467297453j),(-4.3574409629609647e-08+0.000644698147204579j),(0.9841023612663465+0.00020126186932526027j)
(2240+0j),(2250+0j),(0.9994296916493526+7.125210174760771e-06j),(0.11611583570163207+9.29490179409802j),(-2.91449352421356e-10+0.0001226792377011197j),(0.9994296916493526+7.125210174760771e-06j)
(2245+0j),(2280+0j),(0.7401004329291908+0.0049664156337223785j),(2.1966396446473073+121.09577976435916j),(-7.040480406817347e-06+0.0037347341909350442j),(0.7401004329291908+0.0049664156337223785j)
(2245+0j),(2705+0j),(0.8260854833940663+0.002151633116459575j),(0.9292086617325339+77.60079882225746j),(-3.1953096929989374e-06+0.004092540790316281j),(0.8260854833940663+0.002151633116459575j)
(2280+0j),(2281+0j),(0.9471556023188343+0.0006680343426253212j),(0.5533164130927349+44.17079171059204j),(-5.318589301265441e-07+0.0023295126257603226j),(0.9471556023188343+0.0006680343426253212j)
(2300+0j),(2570+0j),(0.9913506096565724+0.00015457632914384797j),(0.32240984762589747+18.066773892790874j),(-4.932093826627742e-08+0.0009533509871787277j),(0.9913506096565724+0.00015457632914384797j)
(2305+0j),(2306+0j),(0.9998281831026687+1.4058542455711947e-06j),(0.004113528762174056+0.5027505478684658j),(-3.203021625671082e-10+0.0006834488310995966j),(0.9998281831026687+1.4058542455711947e-06j)
(2305+0j),(2350+0j),(0.8772106089337269+0.0009847501176327186j),(0.20437636869363165+26.05683464879452j),(-3.0806272288998623e-06+0.008846120060487525j),(0.8772106089337269+0.0009847501176327186j)
(2306+0j),(2580+0j),(0.980867403531416+0.00024325685528583601j),(0.33973327178170015+26.807074679174654j),(-1.1566986063544134e-07+0.0014137744241067005j),(0.980867403531416+0.00024325685528583601j)
(2307+0j),(2580+0j),(0.9808568410306107+0.00024176535104983264j),(0.3375806517648164+26.816394976147446j),(-1.1498408959761848e-07+0.0014140557323705073j),(0.9808568410306107+0.00024176535104983264j)
(2560+0j),(2570+0j),(0.9923108989722628+0.00015389072885510545j),(0.890809532663508+44.566398673364034j),(-1.7696114434311073e-08+0.00034373627116754976j),(0.9923108989722628+0.00015389072885510545j)
(2561+0j),(2570+0j),(0.9923108989722628+0.00015389072885510545j),(0.890809532663508+44.566398673364034j),(-1.7696114434311073e-08+0.00034373627116754976j),(0.9923108989722628+0.00015389072885510545j)
(2561+0j),(2970+0j),(0.978241822543323+0.00027656227792498885j),(0.36178690903552746+28.56802151085424j),(-1.403225773727636e-07+0.00150668334979325j),(0.978241822543323+0.00027656227792498885j)
(2570+0j),(2580+0j),(0.9787654969532467+0.00042437593957307245j),(0.7348046925162766+36.89966240124186j),(-1.6269370539978963e-07+0.0011387140094617759j),(0.9787654969532467+0.00042437593957307245j)
(2580+0j),(2830+0j),(0.9829282953069965+0.00021712948766331963j),(0.3213060068119746+25.335336593715308j),(-9.748319236772005e-08+0.0013361567936128569j),(0.9829282953069965+0.00021712948766331963j)
(2691+0j),(2705+0j),(0.8644012646487069+0.0026523094089743807j),(3.455137304321474+181.0757127884497j),(-1.317948984282995e-06+0.0013961725227036772j),(0.8644012646487069+0.0026523094089743807j)
(2705+0j),(2810+0j),(0.4862351457159222+0.006731985546067852j),(1.4277121924968323+123.78390334988784j),(-1.8262265457025365e-05+0.006168771615502984j),(0.4862351457159222+0.006731985546067852j)
(2810+0j),(2815+0j),(0.705294764509582+0.002739217765366918j),(0.8358489124427549+95.54785230738428j),(-5.572937898961983e-06+0.005259795256501202j),(0.705294764509582+0.002739217765366918j)
(2815+0j),(2830+0j),(0.8973368924554855+0.0014619915879220886j),(0.8741322556329966+62.5185422804758j),(-1.5949034628225177e-06+0.0031156715687212216j),(0.8973368924554855+0.0014619915879220886j)
